1,Aga
2,Balaytigui
3,Banilad
4,Barangay 1
5,Barangay 10
6,Barangay 11
7,Barangay 12
8,Barangay 2
9,Barangay 3
10,Barangay 4
12,Barangay 5
13,Barangay 6
14,Barangay 7
15,Barangay 8
16,Barangay 9
17,Bilaran
18,Bucana
19,Bulihan
20,Bunducan
21,Butucan
22,Calayo
23,Catandaan
24,Cogunan
25,Dayap
26,Kaylaway
27,Kayrilaw
28,Latag
29,Looc
30,Lumbangan
31,Malapad na Bato
32,Mataas na Pulo
33,Maugat
34,Munting Indan
35,Natipuan
36,Pantalan
37,Papaya
38,Putat
39,Reparo
40,Talangan
41,Tumalim
42,Utod
43,Wawa
